"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","hero content is displayed correctly","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Hero Section","ui/home-page/hero-section.spec.ts","",""
"","41","should get order history","api","2026-09-11","passed","2026-09-11","Buyer API -- Order Operations","api/buyer/order-operations.spec.ts","",""
"","470","should show sold out badge for out of stock products","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Product Catalogue","ui/home-page/authenticated-buyer.spec.ts","",""
"","540","should show product in cart when navigating to cart page","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Cart & Orders Access","ui/home-page/authenticated-buyer.spec.ts","",""
"","37","should return 404 when adding non-existent product to cart","api","2026-09-11","passed","2026-09-11","Buyer API -- Cart Operations","api/buyer/cart-operations.spec.ts","",""
"","15","should return 404 for product without certificate (seller2)","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/products/:id/certificate","api/home-page/products-certificate.spec.ts","",""
"","1","should handle CSV with different line endings","unit","2026-09-11","passed","2026-09-11","","Integration Scenarios","",""
"","25","unauthenticated users cannot access seller routes","api","2026-09-11","passed","2026-09-11","Seller API -- IDOR and Security Tests","api/seller/security-idor.spec.ts","",""
"","5","seller cannot create product with negative stock","api","2026-09-11","passed","2026-09-11","Seller API -- POST /api/v1/products","api/seller/products-post.spec.ts","",""
"","0","should handle empty stack trace","unit","2026-09-11","passed","2026-09-11","","detectSpecPath","",""
"","318","should have focus management","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Accessibility","ui/login-page/accessibility.spec.ts","",""
"","1969","should show rate limit error after multiple failed attempts","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Security","ui/login-page/security.spec.ts","",""
"","342","should handle very long email input","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Edge Cases","ui/login-page/edge-cases.spec.ts","",""
"","6","seller can add image to their product","api","2026-09-11","passed","2026-09-11","Seller API -- POST /api/v1/products/:id/images","api/seller/products-images.spec.ts","",""
"","5","should not expose X-Powered-By header","api","2026-09-11","passed","2026-09-11","Hoem Page API -- Security Headers","api/home-page/security-headers.spec.ts","",""
"","1220","should navigate to register page","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Navigation","ui/login-page/navigation.spec.ts","",""
"","294","should have accessible form labels","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Accessibility","ui/login-page/accessibility.spec.ts","",""
"","2","should return absolute path when file exists","unit","2026-09-11","passed","2026-09-11","","getAbsolutePath","",""
"","458","product cards are displayed","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Product Cards","ui/home-page/product-card.spec.ts","",""
"","11","should return a single product by ID","api","2026-09-11","passed","2026-09-11","Hoem Page API -- GET /api/v1/products/:id","api/home-page/products-id.spec.ts","",""
"","27","seller cannot access/modify other seller's products (IDOR protection)","api","2026-09-11","passed","2026-09-11","Seller API -- IDOR and Security Tests","api/seller/security-idor.spec.ts","",""
"","532","should navigate to orders when orders link is clicked","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Header & Navigation","ui/home-page/authenticated-buyer.spec.ts","",""
"","5","should return ok status","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/health","api/home-page/health.spec.ts","",""
"","31","should not create order with empty cart","api","2026-09-11","passed","2026-09-11","Buyer API -- Order Operations","api/buyer/order-operations.spec.ts","",""
"","6","should return certificate for product owned by seller1","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/products/:id/certificate","api/home-page/products-certificate.spec.ts","",""
"","98","should return all products with correct shape - parameterized","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/products - Catalogue","api/home-page/products-catalogue.spec.ts","",""
"","0","should handle mixed data types in a single row","unit","2026-09-11","passed","2026-09-11","","Edge Cases","",""
"","1","should handle nested JSON objects","unit","2026-09-11","passed","2026-09-11","","Integration Scenarios","",""
"","5","should return 404 for non-existent product certificate","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/products/:id/certificate","api/home-page/products-certificate.spec.ts","",""
"","12","seller can update their own product","api","2026-09-11","passed","2026-09-11","Seller API -- PATCH /api/v1/products/:id","api/seller/products-patch.spec.ts","",""
"","0","should detect first spec file path in stack","unit","2026-09-11","passed","2026-09-11","","detectSpecPath","",""
"","613","should show correct cart count when items are added","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Cart & Orders Access","ui/home-page/authenticated-buyer.spec.ts","",""
"","8","should return demo account information","api","2026-09-11","passed","2026-09-11","Home Page API -- GET /api/v1/seed-info","api/home-page/seed-info.spec.ts","",""
"","264","should display properly on mobile viewport","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Responsive Design","ui/login-page/responsive.spec.ts","",""
"","69","should return 403 when accessing another buyers order","api","2026-09-11","passed","2026-09-11","Buyer API -- Order Operations","api/buyer/order-operations.spec.ts","",""
"","318","should have submit button enabled initially","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Layout and Elements","ui/login-page/layout.spec.ts","",""
"","466","should have accessible category filter","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Accessibility","ui/home-page/authenticated-buyer.spec.ts","",""
"","257","should display all registration elements","ui","2026-09-11","passed","2026-09-11","Register Page UI","ui/register-page/register.spec.ts","",""
"","0","should throw error for invalid JSON","unit","2026-09-11","passed","2026-09-11","","readJsonFile","",""
"","1","should handle environment-specific file with special characters in filename","unit","2026-09-11","passed","2026-09-11","","buildCsvFilePath","",""
"","296","price-was is present for sale items","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Product Cards","ui/home-page/product-card.spec.ts","",""
"","7","should parse CSV with string values","unit","2026-09-11","passed","2026-09-11","","Basic CSV Parsing","",""
"","298","should display demo account hint","ui","2026-09-11","passed","2026-09-11","Login Page UI -- Layout and Elements","ui/login-page/layout.spec.ts","",""
"","509","should logout successfully","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Header & Navigation","ui/home-page/authenticated-buyer.spec.ts","",""
"","2","should read text file based on extension","unit","2026-09-11","passed","2026-09-11","","readFile","",""
"","1","should handle empty text file","unit","2026-09-11","passed","2026-09-11","","readTextFile","",""
"","1","should build correct path structure","unit","2026-09-11","passed","2026-09-11","","buildCsvFilePath","",""
"","36","should return consistent error envelope for unauthorized access","api","2026-09-11","passed","2026-09-11","Buyer API -- Error Envelope Compliance","api/buyer/error-envelope.spec.ts","",""
"","90","should return user info from /auth/me","api","2026-09-11","passed","2026-09-11","Buyer API -- Authentication & Authorization","api/buyer/authentication.spec.ts","",""
"","34","buyer cannot create product","api","2026-09-11","passed","2026-09-11","Seller API -- POST /api/v1/products","api/seller/products-post.spec.ts","",""
"","8","seller cannot create product with invalid price","api","2026-09-11","passed","2026-09-11","Seller API -- POST /api/v1/products","api/seller/products-post.spec.ts","",""
"","506","should have skip link","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Accessibility","ui/home-page/authenticated-buyer.spec.ts","",""
"","1889","should show flash message on login","ui","2026-09-11","passed","2026-09-11","Home Page UI -- Authenticated Buyer > Flash Messages","ui/home-page/authenticated-buyer.spec.ts","",""
"","9","seller can paginate their listings","api","2026-09-11","skipped","2026-09-11","Seller API -- Pagination and Filtering for Seller Products","api/seller/pagination-filter.spec.ts","",""
